page	goal	happy_path	success_evidence	failure_boundary	upstream_evidence
basic-usage/api-tour.mdx	用 async Python Client 完成 explicit Memory 的写入、搜索、准备、修订、停用和历史读取。	接口怎么分工 → 准备示例项目 → 这段代码验证了什么 → Client 错误怎么处理 → MCP 与 HTTP 不是同一覆盖面 → 完成检查	这段代码验证了什么; 完成检查		src/powercontext/{client,http,server,builtin}; openapi/powercontext.yaml; tests/test_{api_contract,server}.py; tests/e2e
basic-usage/dashboard.mdx	给 Dashboard 配置与 Client 相同的 Scope，并核对 active、inactive 和 total 统计。				src/powercontext/{client,http,server,builtin}; openapi/powercontext.yaml; tests/test_{api_contract,server}.py; tests/e2e
basic-usage/experience-skill-review.mdx	从 exact evidence 创建 Candidate，审核精确版本，再显式导出 approved Skill Revision。	两条创建路径 → 1. 准备 exact evidence → 2. 检查 Candidate → 3. Revise 是完整替换 → 4. Approve 或 reject → 5. 验证 Experience recall → 6. 创建 Skill Candidate → 7. 读取并导出 exact Skill Revision → Model generation 路径 → Conflict 处理 → 完成检查	2. 检查 Candidate; 5. 验证 Experience recall; 完成检查		src/powercontext/{client,http,server,builtin}; openapi/powercontext.yaml; tests/test_{api_contract,server}.py; tests/e2e
basic-usage/handoff-loop.mdx	创建 工作契约，交接当前工作，确认 exact Handoff，并记录真实 Task Outcome。	闭环长什么样 → 完整 Python 示例 → Outcome 与 Check 状态 → 负向实验 → 完成检查	闭环长什么样; 完成检查	每一步的边界; 负向实验	src/powercontext/{client,http,server,builtin}; openapi/powercontext.yaml; tests/test_{api_contract,server}.py; tests/e2e
basic-usage/install-and-run.mdx	安装 PowerContext CLI 和 Server，启动无模型的本地运行时，并检查实际能力。	前置条件 → 安装 CLI 和 Server → 启动本地 Server → 检查运行状态 → 先验证无模型能力 → 为 Python 项目安装 Client → `.env` 不会自动加载 → Auth 与远程访问 → 完成检查	检查运行状态; 先验证无模型能力; 完成检查	常见启动问题	src/powercontext/{client,http,server,builtin}; openapi/powercontext.yaml; tests/test_{api_contract,server}.py; tests/e2e
basic-usage/mcp.mdx	把 MCP 客户端接到同一套持久数据，并分清它和 HTTP / Python Client 的覆盖面。	默认地址 → 能做 / 不能做 → 开启 Bearer 之后 → 完成检查	完成检查		src/powercontext/{client,http,server,builtin}; openapi/powercontext.yaml; tests/test_{api_contract,server}.py; tests/e2e
basic-usage/source-and-memory.mdx	对比显式 Memory 和 Source extraction，并用 position、cursor 与 source_refs 验证真实 lineage。	两条路径先放在一起看 → 先检查 extraction capability → 完整 lineage 脚本 → 每一步应该看什么 → 验证 vector，需要更严格的断言 → 跨会话召回靠 Scope，不靠 session → Active、inactive 与历史 → 完成检查	先检查 extraction capability; 验证 vector，需要更严格的断言; 完成检查	失败排查	src/powercontext/{client,http,server,builtin}; openapi/powercontext.yaml; tests/test_{api_contract,server}.py; tests/e2e
coding-agents/claude-code.mdx	安装 UserPromptSubmit + MCP + Skill plugin，并守住 v1 的 capture 与 permission 边界。	最小用法 → 执行流程 → Scope → Injection → Capture 与 flush → MCP、Skill 与 permission → Unsupported 与 Not validated → 负向实验 → 在这个宿主上做完统一题 → 完成检查表	最小用法; 完成检查表	负向实验	integrations/{codex,claude-code,dsh,opencode,pi}; tests/{codex_plugin,claude_code_plugin}; tests/test_{dsh,opencode,pi}_cli.py; tests/e2e
coding-agents/codex.mdx	组合 UserPromptSubmit Hook、HTTP MCP 与 project-context Skill，实现 automatic recall 和显式 Handoff。	最小用法 → 执行流程 → Scope 与 Workstream binding → Injection 与 API-base derivation → Capture 与 flush → MCP、Skill、Handoff 与 permission → Unsupported 与 Not validated → 负向实验 → 在这个宿主上做完统一题 → 完成检查表	最小用法; 完成检查表	负向实验	integrations/{codex,claude-code,dsh,opencode,pi}; tests/{codex_plugin,claude_code_plugin}; tests/test_{dsh,opencode,pi}_cli.py; tests/e2e
coding-agents/dsh.mdx	通过 agent/pre-step middleware 和原生 pc_* HTTP tools 接入 PowerContext。	最小用法 → 执行流程 → Scope → 注入、capture 与 flush → 原生 tools 与 permission → 负向实验 → Unsupported 与 Not validated → 在这个宿主上做完统一题 → 完成检查	最小用法; 完成检查	失败行为; 负向实验	integrations/{codex,claude-code,dsh,opencode,pi}; tests/{codex_plugin,claude_code_plugin}; tests/test_{dsh,opencode,pi}_cli.py; tests/e2e
coding-agents/extend-hooks.mdx	先发现宿主能力，再定义可验证的 适配器契约，并在发布前取得 real-host 证据。	从 capability discovery 开始 → 编写 适配器契约 → 最小用法 → 执行流程 → 复用现有实现 → Scope、injection、capture 与 flush → Permission 与 explicit writes → Setup 与 doctor → Acceptance tiers → Negative matrix → Managed Skill export → Unsupported 与 Not validated → 完成 checklist	最小用法; 完成 checklist		integrations/{codex,claude-code,dsh,opencode,pi}; tests/{codex_plugin,claude_code_plugin}; tests/test_{dsh,opencode,pi}_cli.py; tests/e2e
coding-agents/hooks-and-plugins.mdx	把五种宿主事件模型映射到一份已验证的领域合同，同时不虚构统一 HostAdapter SDK。	最小 适配器契约 → 五种不同的事件模型 → Scope 与注入 → Automatic 安全合同 → Capture 不等于 Memory → Flush coordination → Explicit mutation 与 permission → Bundled Skill 与 managed export → Setup 与 doctor 契约 → 负向实验 → 复用当前实现 → 完成检查	当前不支持或未验证; 完成检查	Automatic 安全合同; 负向实验; 当前不支持或未验证	integrations/{codex,claude-code,dsh,opencode,pi}; tests/{codex_plugin,claude_code_plugin}; tests/test_{dsh,opencode,pi}_cli.py; tests/e2e
coding-agents/opencode.mdx	通过 native hooks 注入 exact-turn context，并用 context.ask 控制指定 mutation。	最小用法 → 执行流程 → Scope 与 session cleanup → 注入 → Capture 与 flush → Owned plugin 与 bundled Skill → 原生 tools 与 permission → 负向实验 → Unsupported 与 Not validated → 在这个宿主上做完统一题 → 完成检查	最小用法; 完成检查	失败行为; 负向实验	integrations/{codex,claude-code,dsh,opencode,pi}; tests/{codex_plugin,claude_code_plugin}; tests/test_{dsh,opencode,pi}_cli.py; tests/e2e
coding-agents/overview.mdx	比较五种编程 Agent 宿主的成熟度、Setup、事件、注入、capture、flush、权限和验证边界。	最小用法 → 共同执行流 → 能力矩阵 → Scope、注入、capture 与 flush → Automatic 与 explicit path → 负向实验 → 选择宿主 → 完成检查	最小用法; 当前不支持或未验证; 完成检查	负向实验; 当前不支持或未验证	integrations/{codex,claude-code,dsh,opencode,pi}; tests/{codex_plugin,claude_code_plugin}; tests/test_{dsh,opencode,pi}_cli.py; tests/e2e
coding-agents/pi.mdx	安装 native package，在 before_agent_start 注入上下文，并在 lifecycle boundary flush 已 capture 的 Source。	最小用法 → 执行流程 → Scope → 注入 → Capture → Flush → Tools、commands 与 permission → Transport → Unsupported 与 Not validated → 负向实验 → 在这个宿主上做完统一题 → 完成检查	最小用法; 完成检查	负向实验	integrations/{codex,claude-code,dsh,opencode,pi}; tests/{codex_plugin,claude_code_plugin}; tests/test_{dsh,opencode,pi}_cli.py; tests/e2e
common-agents/agent-plugin.mdx	加载便携的 project-context Skill 与 MCP 配置，用显式 Memory 验证 Citation，不假装存在自动召回。	取得 package 并加载 → 最小验证 → Scope 解析 → 没有自动路径 → 负向检查 → 完成检查	最小验证; 负向检查; 完成检查	配置边界; 负向检查; 当前限制	integrations/{hermes,openclaw,workbuddy,agent-plugin}; tests/test_{hermes,openclaw}_cli.py; tests/test_cli_workbuddy.py; tests/agent_plugin; tests/e2e
common-agents/agent-self-extension.mdx	把精确 evidence 变成经过 Review 的 Skill Revision，再在宿主许可下显式导出。	受治理的路径 → 安装并启用 generation → 从 exact evidence 开始 → Review Candidate → Export 必须显式执行 → Bundled、managed 与 external Skill → 可直接贴给 Agent 的 prompt → 最小验证 → 执行流 → 负向路径 → 完成检查	最小验证; 完成检查	负向路径; 当前限制	integrations/{hermes,openclaw,workbuddy,agent-plugin}; tests/test_{hermes,openclaw}_cli.py; tests/test_cli_workbuddy.py; tests/agent_plugin; tests/e2e
common-agents/hermes.mdx	安装 provider 与 command companion，激活 PowerContext，再验证召回、写入、Scope 和 fail-open。	安装并激活 → 最小验证 → Tool surface → Scope 解析与切换 → 执行流 → Queue、隐私与负向路径 → 在这个宿主上做完统一题 → 完成检查	最小验证; 完成检查	Gateway slash 限制; Queue、隐私与负向路径; 当前限制	integrations/{hermes,openclaw,workbuddy,agent-plugin}; tests/test_{hermes,openclaw}_cli.py; tests/test_cli_workbuddy.py; tests/agent_plugin; tests/e2e
common-agents/openclaw.mdx	把 PowerContext 装进 OpenClaw memory slot，再验证五个工具、private-session gate、Scope 与 Server 边界。	安装并激活 → Runtime 默认值 → 恰好五个工具 → 最小验证 → Private-session gate → Scope 仍按 agent 隔离 → Gateway token 与远程 HTTP → 执行流 → 要测试的负向路径 → 在这个宿主上做完统一题 → 完成检查	最小验证; 完成检查	Capture 与 recall 都有边界; 要测试的负向路径; 当前限制	integrations/{hermes,openclaw,workbuddy,agent-plugin}; tests/test_{hermes,openclaw}_cli.py; tests/test_cli_workbuddy.py; tests/agent_plugin; tests/e2e
common-agents/overview.mdx	在 Hermes、OpenClaw、WorkBuddy 与 Agent Plugin 之间选路，并把安装、激活、Server 启动和诊断分开处理。	Hermes 还是 OpenClaw？ → 激活不等于启动 Server → 最小验证 → 执行流 → 要测试的负向路径 → WorkBuddy 与 Agent Plugin → 还会遇到的几个名字 → 完成检查	最小验证; 完成检查	四层边界; 要测试的负向路径; 当前限制	integrations/{hermes,openclaw,workbuddy,agent-plugin}; tests/test_{hermes,openclaw}_cli.py; tests/test_cli_workbuddy.py; tests/agent_plugin; tests/e2e
common-agents/workbuddy.mdx	安装 UserPromptSubmit Hook、MCP 与 project-context Skill，验证 additionalContext 召回，并确认显式写入失败可见。	安装并激活 → 最小验证 → Scope 解析 → 自动路径与显式工具 → 负向检查 → 完成检查	最小验证; 负向检查; 完成检查	负向检查; 当前限制	integrations/{hermes,openclaw,workbuddy,agent-plugin}; tests/test_{hermes,openclaw}_cli.py; tests/test_cli_workbuddy.py; tests/agent_plugin; tests/e2e
frameworks/langchain.mdx	每次 model request 前召回，并按需捕获一次成功完成的 turn，不修改 agent state。	最小用法 → 执行流程 → Capture 默认关闭 → Failure、隐私与 Scope boundary → 与 LangGraph 对比 → 完成检查清单	最小用法; 当前不支持或尚未验证; 完成检查清单	Failure、隐私与 Scope boundary; 当前不支持或尚未验证	integrations/{langgraph,langchain,pydantic-ai}; tests/{langgraph_adapter,langchain_middleware,pydantic_ai_adapter}; tests/e2e
frameworks/langgraph.mdx	为 async LangGraph 加入三个 Memory tools 和按 turn 临时召回，不污染 checkpoint。	最小用法 → 执行流程 → 为什么没有 BaseStore → Failure、隐私与 Scope boundary → 完成检查清单	最小用法; 当前不支持或尚未验证; 完成检查清单	Failure、隐私与 Scope boundary; 当前不支持或尚未验证	integrations/{langgraph,langchain,pydantic-ai}; tests/{langgraph_adapter,langchain_middleware,pydantic_ai_adapter}; tests/e2e
